group,bg_reading,bead_size,bead_number,scf_bead,raw_bead,mean_control
1.0,0.20691667,1.0,1_1,0.9765717062151664,67.49,0.611921
1.0,0.20691667,1.0,1_2,0.9768119779634032,56.99,0.611921
1.0,0.20691667,1.0,1_3,0.9789797558986748,54.9,0.611921
1.0,0.20691667,1.0,1_4,0.9281705880128084,53.84,0.611921
1.0,0.20691667,1.0,1_5,0.916387550328012,55.39,0.611921
2.0,0.20691667,1.0,1_6,0.9621353451298924,51.44,0.611921
2.0,0.20691667,1.0,1_7,0.986520761,55.05,0.611921
2.0,0.20691667,1.0,1_10,0.9984291304783234,51.2,0.611921
2.0,0.20691667,1.0,2_1,0.9533559931435694,53.33,0.611921
3.0,0.20691667,1.0,2_3,1.0364849150212492,54.2,0.611921
3.0,0.20691667,1.0,2_4,0.9531271206913612,53.17,0.611921
3.0,0.20691667,1.0,2_5,0.9823710456305484,51.87,0.611921
3.0,0.20691667,1.0,2_6,0.9969248856549058,55.97,0.611921
3.0,0.20691667,1.0,2_7,0.9628353435217044,54.07,0.611921
4.0,0.20691667,1.0,3_2,0.9936811873666426,52.11,0.611921
4.0,0.20691667,1.0,3_3,1.019975487857704,51.56,0.611921
4.0,0.20691667,1.0,3_4,0.9465372916396032,51.81,0.611921
4.0,0.20691667,1.0,3_5,0.9760915171500124,50.64,0.611921
4.0,0.20691667,1.0,3_6,1.072897556815689,48.74,0.611921
5.0,0.20691667,1.0,3_7,0.994178843286608,48.97,0.611921
5.0,0.20691667,1.0,3_8,0.9577255497501904,52.29,0.611921
5.0,0.20691667,1.0,3_9,1.0305659055959489,50.21,0.611921
5.0,0.20691667,1.0,3_10,0.9551909374016816,50.72,0.611921
5.0,0.20691667,1.0,4_1,1.0843255546878814,48.73,0.611921
6.0,0.20691667,1.0,4_2,1.0137250742067454,48.23,0.611921
6.0,0.20691667,1.0,4_3,0.9999379216259702,48.43,0.611921
6.0,0.20691667,1.0,4_4,0.9875022645394528,56.85,0.611921
6.0,0.20691667,1.0,4_5,1.0072951694031365,53.48,0.611921
6.0,0.20691667,1.0,4_6,0.9542725831825976,51.71,0.611921
7.0,0.20691667,1.0,4_7,0.9281705880128084,49.03,0.611921
7.0,0.20691667,1.0,4_9,1.0085746166492184,48.08,0.611921
7.0,0.20691667,1.0,4_10,1.0263034571481993,48.12,0.611921
7.0,0.20691667,1.0,5_1,0.9934325461935588,49.9,0.611921
8.0,0.21,1.0,5_2,0.9420454218094492,49.86,0.611921
8.0,0.21,1.0,5_3,0.9852966216519624,53.34,0.611921
8.0,0.21,1.0,5_4,0.9628353435217044,48.35,0.611921
8.0,0.21,1.0,5_5,0.9760915171500124,48.82,0.611921
8.0,0.21,1.0,5_6,0.9675281562800284,46.7,0.611921
9.0,0.22168333,1.0,5_7,1.0072951694031365,48.37,0.611921
9.0,0.22168333,1.0,5_8,0.9748931079416864,47.45,0.611921
9.0,0.22168333,1.0,6_1,0.9420454218094492,47.71,0.611921
9.0,0.22168333,1.0,6_2,0.923850951,49.76,0.611921
9.0,0.22168333,1.0,6_3,1.0024627326025757,48.21,0.611921
10.0,0.2312,1.0,6_4,1.0176225710616986,42.86,0.611921
10.0,0.2312,1.0,6_5,1.039742213097148,46.2,0.611921
10.0,0.2312,1.0,6_6,1.0034762306396383,46.33,0.611921
10.0,0.2312,1.0,6_7,1.0078065585674707,43.48,0.611921
10.0,0.2312,1.0,6_8,0.9748931079416864,45.88,0.611921
11.0,0.21621667,1.0,6_9,0.937153350479276,43.37,0.611921
11.0,0.21621667,1.0,6_10,0.9492530339801328,46.08,0.611921
11.0,0.21621667,1.0,7_1,1.0176225710616986,43.43,0.611921
11.0,0.21621667,1.0,7_2,1.0705830620349834,42.99,0.611921
11.0,0.21621667,1.0,7_4,1.0223393105592011,44.21,0.611921
12.0,0.21183333,1.0,7_5,1.0614240869076494,44.37,0.611921
12.0,0.21183333,1.0,7_6,1.046594439478986,43.25,0.611921
12.0,0.21183333,1.0,7_7,1.0639841708738775,45.29,0.611921
12.0,0.21183333,1.0,7_8,1.0386541746717444,45.63,0.611921
12.0,0.21183333,1.0,7_9,1.0518628393548444,47.77,0.611921
