group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead
1,1.0,72,8_2,linearity,0.995,10.0,50.0,50.0,39.44,2.7740
1,1.0,73,8_3,linearity,0.995,10.0,50.0,50.0,38.07,3.1030
1,1.0,74,8_4,linearity,0.995,10.0,100.0,100.0,39.58,5.2790
1,1.0,75,8_5,linearity,0.995,10.0,100.0,100.0,36.61,5.6490
1,1.0,76,8_6,linearity,0.995,10.0,100.0,100.0,39.81,5.2250
1,1.0,77,8_7,linearity,0.995,10.0,100.0,100.0,38.75,5.4730
1,1.0,78,8_8,linearity,0.995,10.0,100.0,100.0,43.81,5.2230
1,1.0,79,8_9,linearity,0.995,10.0,250.0,250.0,38.52,14.1400
1,1.0,80,8_10,linearity,0.995,10.0,250.0,250.0,37.3,12.6100
1,1.0,81,9_1,linearity,0.995,10.0,250.0,250.0,40.48,12.4100
1,1.0,82,9_2,linearity,0.995,10.0,250.0,250.0,39.29,12.2900
1,1.0,83,9_3,linearity,0.995,10.0,250.0,250.0,39.26,12.2000
1,1.0,84,9_4,linearity,0.995,10.0,500.0,500.0,38.23,25.2800
1,1.0,86,9_6,linearity,0.995,10.0,500.0,500.0,37.95,26.7700
1,1.0,87,9_7,linearity,0.995,10.0,500.0,500.0,41.08,24.4800
1,1.0,88,9_8,linearity,0.995,10.0,500.0,500.0,39.44,27.4600
1,1.0,89,9_9,linearity,0.995,10.0,500.0,500.0,38.58,23.5200
1,1.0,90,9_10,linearity,0.995,10.0,1000.0,1000.0,46.59,60.3500
1,1.0,91,10_1,linearity,0.995,10.0,1000.0,1000.0,43.81,52.1200
1,1.0,92,10_2,linearity,0.995,10.0,1000.0,1000.0,40.92,49.6900
1,1.0,93,10_3,linearity,0.995,10.0,1000.0,1000.0,46.76,50.2100
1,1.0,94,10_4,linearity,0.995,10.0,1000.0,1000.0,37.46,49.5000
1,1.0,95,10_5,linearity,0.995,10.0,2000.0,2000.0,37.54,99.2700
1,1.0,96,10_6,linearity,0.995,10.0,2000.0,2000.0,38.14,97.3200
1,1.0,97,10_7,linearity,0.995,10.0,2000.0,2000.0,39.69,97.5500
1,1.0,98,10_8,linearity,0.995,10.0,2000.0,2000.0,37.62,114.1000
1,1.0,99,10_9,linearity,0.995,10.0,2000.0,2000.0,37.88,110.1000
1,1.0,100,10_10,linearity,0.995,10.0,3000.0,3000.0,38.59,146.2000
