group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count
1,1.0,52,6_2,linearity,0.995,6.0,5000.0,5000.0,43.17,273.5,0.923850950516375,252.67323496622856
1,1.0,53,6_3,linearity,0.995,10.0,0.0,0.0,39.8,0.6478,1.0024627326025755,0.6493953581799484
1,1.0,54,6_4,linearity,0.995,10.0,0.0,0.0,39.21,0.5139,1.0176225710616986,0.5229562392686069
1,1.0,55,6_5,linearity,0.995,10.0,0.0,0.0,38.38,0.625,1.0397422130971479,0.6498388831857174
1,1.0,56,6_6,linearity,0.995,10.0,0.0,0.0,39.76,0.6495,1.0034762306396383,0.651757811800445
1,1.0,57,6_7,linearity,0.995,10.0,0.0,0.0,39.59,0.6184,1.0078065585674707,0.6232275758181238
1,1.0,58,6_8,linearity,0.995,10.0,10.0,10.0,40.92,1.511,0.9748931079416864,1.473063486099888
1,1.0,59,6_9,linearity,0.995,10.0,10.0,10.0,42.56,1.59,0.9371533504792761,1.490073827262049
1,1.0,60,6_10,linearity,0.995,10.0,10.0,10.0,42.02,1.499,0.9492530339801329,1.4229302979362193
1,1.0,61,7_1,linearity,0.995,10.0,10.0,10.0,39.21,1.336,1.0176225710616986,1.3595437549384295
1,1.0,62,7_2,linearity,0.995,10.0,10.0,10.0,37.28,1.359,1.0705830620349834,1.4549223813055425
1,1.0,64,7_4,linearity,0.995,10.0,25.0,25.0,39.03,1.655,1.0223393105592011,1.6919715589754778
1,1.0,65,7_5,linearity,0.995,10.0,25.0,25.0,37.6,1.952,1.0614240869076494,2.0718998176437315
1,1.0,66,7_6,linearity,0.995,10.0,25.0,25.0,38.13,1.597,1.046594439478986,1.6714113198479406
1,1.0,67,7_7,linearity,0.995,10.0,25.0,25.0,37.51,1.724,1.0639841708738775,1.8343087105865648
1,1.0,68,7_8,linearity,0.995,10.0,25.0,25.0,38.42,2.079,1.0386541746717444,2.1593620291425566
1,1.0,69,7_9,linearity,0.995,10.0,50.0,50.0,37.94,2.989,1.0518628393548444,3.14401802683163
1,1.0,70,7_10,linearity,0.995,10.0,50.0,50.0,38.9,2.914,1.0257731289739414,2.9891028978300653
1,1.0,71,8_1,linearity,0.995,10.0,50.0,50.0,38.7,2.997,1.0311012024042476,3.09021030360553
1,1.0,72,8_2,linearity,0.995,10.0,50.0,50.0,39.44,2.774,1.0116585916469145,2.8063409332285407
1,1.0,73,8_3,linearity,0.995,10.0,50.0,50.0,38.07,3.103,1.0482524342151602,3.2527273033696424
1,1.0,74,8_4,linearity,0.995,10.0,100.0,100.0,39.58,5.279,1.008062447917731,5.321561662557701
1,1.0,75,8_5,linearity,0.995,10.0,100.0,100.0,36.61,5.649,1.0902810204900508,6.158997484748297
1,1.0,76,8_6,linearity,0.995,10.0,100.0,100.0,39.81,5.225,1.00220967789379,5.236545566995052
1,1.0,77,8_7,linearity,0.995,10.0,100.0,100.0,38.75,5.473,1.0297640016963259,5.635898381283991
1,1.0,78,8_8,linearity,0.995,10.0,100.0,100.0,43.81,5.223,0.9102943337898803,4.754467305384545
1,1.0,79,8_9,linearity,0.995,10.0,250.0,250.0,38.52,14.14,1.03594401517049,14.648248374510729
1,1.0,80,8_10,linearity,0.995,10.0,250.0,250.0,37.3,12.61,1.0700059977846588,13.492775632064546
1,1.0,81,9_1,linearity,0.995,10.0,250.0,250.0,40.48,12.41,0.9855412064021603,12.23056637145081
1,1.0,82,9_2,linearity,0.995,10.0,250.0,250.0,39.29,12.29,1.0155401841505518,12.48098886321028
1,1.0,83,9_3,linearity,0.995,10.0,250.0,250.0,39.26,12.2,1.016320079746836,12.399104972911397
1,1.0,84,9_4,linearity,0.995,10.0,500.0,500.0,38.23,25.28,1.0438427394258438,26.388344452685335
1,1.0,86,9_6,linearity,0.995,10.0,500.0,500.0,37.95,26.77,1.051584233157426,28.150909921624297
1,1.0,87,9_7,linearity,0.995,10.0,500.0,500.0,41.08,24.48,0.97107789620021,23.77198689898114
