group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead
2,1.0,243,25_3,energy_resp,0.995,10.0,200.0,10.0,38.61,10.0100,1.013430490651115
2,1.0,244,25_4,energy_resp,0.995,10.0,200.0,10.0,38.83,9.6070,1.0076531099011317
2,1.0,245,25_5,energy_resp,0.995,10.0,200.0,10.0,39.06,9.2640,1.0016831345198576
2,1.0,246,25_6,energy_resp,0.995,10.0,200.0,10.0,38.46,9.8590,1.0174077467713858
2,1.0,247,25_7,energy_resp,0.995,10.0,200.0,10.0,36.12,8.9480,1.0837586383056637
2,1.0,248,25_8,energy_resp,0.995,10.0,200.0,10.0,39.73,10.1400,0.9846886733360349
2,1.0,249,25_9,energy_resp,0.995,10.0,200.0,10.0,37.52,9.6150,1.0430606031073293
2,1.0,250,25_10,energy_resp,0.0,0.0,200.0,0.0,36.83,0.6445,1.0627297149594548
2,1.0,251,26_1,energy_resp,0.0,0.0,200.0,0.0,42.19,0.6133,0.9269466395074943
2,1.0,252,26_2,energy_resp,0.0,0.0,200.0,0.0,37.97,0.6052,1.0306204958727334
2,1.0,253,26_3,energy_resp,0.0,0.0,200.0,0.0,38.49,0.6589,1.016609800077146
2,1.0,254,26_4,energy_resp,0.0,0.0,200.0,0.0,41.88,0.8209,0.9338473788814758
3,1.5,1,1_1,linearity,0.995,6.0,10.0,10.0,110.2,1.9110,0.9811347054392335
3,1.5,2,1_2,linearity,0.995,6.0,10.0,10.0,109.6,1.8120,0.9865154804770311
3,1.5,3,1_3,linearity,0.995,6.0,10.0,10.0,103.2,1.7940,1.047810871632104
3,1.5,4,1_4,linearity,0.995,6.0,10.0,10.0,108.3,1.9590,0.9983787287235124
3,1.5,5,1_5,linearity,0.995,6.0,10.0,10.0,107.2,2.2970,1.008642006844574
3,1.5,6,1_6,linearity,0.995,6.0,25.0,25.0,114.6,3.5110,0.9434002285458551
3,1.5,7,1_7,linearity,0.995,6.0,25.0,25.0,114.5,3.8540,0.9442255683213312
3,1.5,8,1_8,linearity,0.995,6.0,25.0,25.0,117.2,3.9090,0.9224365793442643
3,1.5,9,1_9,linearity,0.995,6.0,25.0,25.0,113.5,3.7230,0.9525590929925092
3,1.5,10,1_10,linearity,0.995,6.0,25.0,25.0,102.0,3.6320,1.0601617348813117
3,1.5,11,2_1,linearity,0.995,6.0,50.0,50.0,115.0,6.9740,0.9401132476262537
3,1.5,12,2_2,linearity,0.995,6.0,50.0,50.0,111.5,6.4610,0.9696753709195257
3,1.5,13,2_3,linearity,0.995,6.0,50.0,50.0,109.1,7.0050,0.9910447505367089
3,1.5,14,2_4,linearity,0.995,6.0,50.0,50.0,112.5,7.4050,0.9610410271600951
3,1.5,15,2_5,linearity,0.995,6.0,50.0,50.0,98.54,6.4060,1.0974608298585853
3,1.5,16,2_6,linearity,0.995,6.0,100.0,100.0,111.0,13.5800,0.9740509859109169
3,1.5,17,2_7,linearity,0.995,6.0,100.0,100.0,106.1,13.9300,1.0191184885497433
3,1.5,18,2_8,linearity,0.995,6.0,100.0,100.0,111.7,13.1500,0.9679361125742645
3,1.5,19,2_9,linearity,0.995,6.0,100.0,100.0,110.3,12.5500,0.9802436110675498
3,1.5,20,2_10,linearity,0.995,6.0,100.0,100.0,100.4,11.8800,1.077089710571784
3,1.5,21,3_1,linearity,0.995,6.0,250.0,250.0,115.9,30.8600,0.9328006351814708
3,1.5,22,3_2,linearity,0.995,6.0,250.0,250.0,115.6,38.3100,0.9352254996484827
3,1.5,23,3_3,linearity,0.995,6.0,250.0,250.0,111.0,35.5100,0.9740509859109169
3,1.5,24,3_4,linearity,0.995,6.0,250.0,250.0,109.8,31.6900,0.984715343109496
3,1.5,25,3_5,linearity,0.995,6.0,250.0,250.0,112.8,31.0500,0.9584806286547544
3,1.5,26,3_6,linearity,0.995,6.0,500.0,500.0,117.9,66.6000,0.9169507585948309
3,1.5,27,3_7,linearity,0.995,6.0,500.0,500.0,111.3,62.4100,0.9714208909692799
3,1.5,28,3_8,linearity,0.995,6.0,500.0,500.0,126.6,63.2800,0.8538400805456768
3,1.5,29,3_9,linearity,0.995,6.0,500.0,500.0,130.6,64.0700,0.8276495641509213
3,1.5,30,3_10,linearity,0.995,6.0,500.0,500.0,105.2,62.5000,1.0278534182990309
3,1.5,31,4_1,linearity,0.995,6.0,1000.0,1000.0,112.8,130.4000,0.9584806286547544
3,1.5,32,4_2,linearity,0.995,6.0,1000.0,1000.0,106.9,130.5000,1.0114778075519486
3,1.5,33,4_3,linearity,0.995,6.0,1000.0,1000.0,111.1,135.7000,0.9731727065997342
3,1.5,34,4_4,linearity,0.995,6.0,1000.0,1000.0,113.4,126.0000,0.9534005430881113
