bead_size,bead_number,experiment,beam_energy,exp_variable,scf_count,scf_bead,calibrated_count,adjusted_count
1.5,83,linearity,10.0,500.0,103.7,0.0018855673416907,6526.878,6480.19681932653
1.5,84,linearity,10.0,500.0,112.8,0.001733451536643,7429.008,7382.32681932653
1.5,85,linearity,10.0,500.0,112.5,0.001738074074074,7252.875,7206.1938193265305
1.5,86,linearity,10.0,1000.0,111.9,0.0017473935061066,14088.210000000001,14041.528819326531
1.5,87,linearity,10.0,1000.0,105.5,0.0018533965244865,12744.4,12697.71881932653
1.5,88,linearity,10.0,1000.0,107.2,0.0018240049751243,13367.84,13321.15881932653
1.5,89,linearity,10.0,1000.0,116.3,0.0016812840355402,15223.67,15176.98881932653
1.5,90,linearity,10.0,1000.0,107.9,0.0018121717639789,13670.93,13624.24881932653
1.5,91,linearity,10.0,2000.0,111.5,0.0017536621823617,29904.3,29857.61881932653
1.5,92,linearity,10.0,2000.0,109.8,0.0017808136004857,28350.359999999997,28303.678819326527
1.5,93,linearity,10.0,2000.0,108.8,0.001797181372549,28016.0,27969.31881932653
1.5,94,linearity,10.0,2000.0,109.5,0.0017856925418569,31404.600000000002,31357.918819326533
1.5,95,linearity,10.0,2000.0,107.6,0.0018172242874845,28944.399999999998,28897.71881932653
1.5,96,linearity,10.0,3000.0,108.7,0.0017988347132781,40816.85,40770.16881932653
1.5,97,linearity,10.0,3000.0,110.2,0.0017743496672716,43121.26,43074.57881932653
1.5,98,linearity,10.0,3000.0,112.7,0.0017349896480331,42769.65,42722.96881932653
1.5,99,linearity,10.0,3000.0,105.7,0.001849889624724,41275.85,41229.16881932653
1.5,100,linearity,10.0,3000.0,106.2,0.001841180163214,42065.82000000001,42019.13881932654
1.5,101,linearity,10.0,5000.0,104.2,0.0018765195137555,65427.18,65380.49881932653
1.5,102,linearity,10.0,5000.0,112.3,0.0017411694864945,71782.16,71735.47881932654
1.5,103,linearity,10.0,5000.0,101.4,0.0019283366206443,63669.06,63622.37881932653
1.5,104,linearity,10.0,5000.0,105.2,0.0018586818757921,70862.72,70816.03881932654
1.5,105,linearity,10.0,5000.0,104.3,0.0018747203579418,63456.119999999995,63409.438819326526
1.5,106,linearity,10.0,0.0,104.6,0.0018693435309114,49.92558,3.244399326530612
1.5,107,linearity,10.0,0.0,124.2,0.0015743424584004,51.36912,4.687939326530618
1.5,108,linearity,10.0,0.0,105.5,0.0018533965244865,47.92865,1.247469326530613
1.5,109,linearity,10.0,0.0,103.7,0.0018855673416907,62.33407,15.652889326530612
1.5,110,linearity,10.0,0.0,105.6,0.0018516414141414,53.528639999999996,6.847459326530611
1.5,111,dose_rate,6.0,600.0,104.4,0.0018729246487867,2537.964,2491.2828193265304
1.5,112,dose_rate,6.0,600.0,105.6,0.0018516414141414,2785.7279999999996,2739.04681932653
1.5,113,dose_rate,6.0,600.0,99.24,0.0019703076716377,2388.7068,2342.0256193265304
1.5,114,dose_rate,6.0,600.0,103.4,0.0018910380399742,2454.716,2408.0348193265304
1.5,115,dose_rate,6.0,600.0,102.2,0.0019132420091324,2697.058,2650.3768193265305
1.5,116,dose_rate,6.0,500.0,108.1,0.0018088189947579,2584.671,2537.9898193265303
1.5,117,dose_rate,6.0,500.0,95.26,0.002052627895584,2087.1466,2040.4654193265305
