group,bead_size,bead_number,bead_id,experiment,e_factor,beam_energy,dose_level,exp_variable,scf_count,raw_bead,scf_bead,calibrated_count,is_control,mean_control,adjusted_count
1,1.0,1,1_1,linearity,0.995,6.0,10.0,10.0,40.85,0.8636,0.9765717062151664,0.8433673254874178,False,0.6119210270120786,0.2457825640692952
1,1.0,2,1_2,linearity,0.995,6.0,10.0,10.0,40.84,0.8628,0.9768119779634031,0.8427933745868242,False,0.6119210270120786,0.24506158583375867
1,1.0,3,1_3,linearity,0.995,6.0,10.0,10.0,40.75,0.9771,0.9789797558986748,0.9565611194885951,False,0.6119210270120786,0.357502821835044
1,1.0,4,1_4,linearity,0.995,6.0,10.0,10.0,42.97,0.8508,0.9281705880128085,0.7896875362812975,False,0.6119210270120786,0.22172043682209477
1,1.0,5,1_5,linearity,0.995,6.0,10.0,10.0,43.52,0.9164,0.9163875503280119,0.83977755112059,False,0.6119210270120786,0.27902074018279016
1,1.0,6,1_6,linearity,0.995,6.0,25.0,25.0,41.46,1.638,0.9621353451298924,1.5759776953227638,False,0.6119210270120786,0.9872268468062593
1,1.0,7,1_7,linearity,0.995,6.0,25.0,25.0,40.44,1.649,0.986520760898002,1.6267727347208054,False,0.6119210270120786,1.0230999375433627
1,1.0,10,1_10,linearity,0.995,6.0,25.0,25.0,39.96,1.651,0.9984291304783234,1.6484064944197119,False,0.6119210270120786,1.0374467154986395
1,1.0,11,2_1,linearity,0.995,6.0,25.0,25.0,41.84,1.705,0.9533559931435694,1.625471968309786,False,0.6119210270120786,1.0420933898772529
1,1.0,12,2_2,linearity,0.995,6.0,50.0,50.0,41.72,2.655,0.956111060899059,2.538474866687001,False,0.6119210270120786,1.9534104043640412
1,1.0,13,2_3,linearity,0.995,6.0,50.0,50.0,38.5,2.916,1.0364849150212492,3.0223900122019627,False,0.6119210270120786,2.388143098519633
1,1.0,14,2_4,linearity,0.995,6.0,50.0,50.0,41.85,2.897,0.9531271206913611,2.761209268642873,False,0.6119210270120786,2.17797074207635
1,1.0,15,2_5,linearity,0.995,6.0,50.0,50.0,40.61,2.716,0.9823710456305483,2.6681197599325697,False,0.6119210270120786,2.066986260783395
1,1.0,16,2_6,linearity,0.995,6.0,50.0,50.0,40.02,2.869,0.9969248856549058,2.860177496943925,False,0.6119210270120786,2.250138197060076
1,1.0,17,2_7,linearity,0.995,6.0,100.0,100.0,41.43,5.312,0.9628353435217045,5.114581344787295,False,0.6119210270120786,4.525402152535966
1,1.0,18,2_8,linearity,0.995,6.0,100.0,100.0,41.58,5.774,0.959345500274683,5.539260918586019,False,0.6119210270120786,4.952217234798519
1,1.0,19,2_9,linearity,0.995,6.0,100.0,100.0,39.89,5.304,1.0001898302685581,5.305006859744433,False,0.6119210270120786,4.69296967159946
1,1.0,20,2_10,linearity,0.995,6.0,100.0,100.0,41.05,5.354,0.9717909721319973,5.202968864794713,False,0.6119210270120786,4.608309535086636
1,1.0,21,3_1,linearity,0.995,6.0,100.0,100.0,45.84,5.294,0.8698097442537965,4.604772786079598,False,0.6119210270120786,4.072517914070702
1,1.0,22,3_2,linearity,0.995,6.0,250.0,250.0,40.15,12.38,0.9936811873666426,12.301773099599036,False,0.6119210270120786,11.693718686903058
1,1.0,23,3_3,linearity,0.995,6.0,250.0,250.0,39.12,12.28,1.019975487857704,12.525298990892605,False,0.6119210270120786,11.901154542835574
1,1.0,24,3_4,linearity,0.995,6.0,250.0,250.0,42.14,15.57,0.9465372916396031,14.73758563082862,False,0.6119210270120786,14.158379559223283
1,1.0,25,3_5,linearity,0.995,6.0,250.0,250.0,40.87,12.47,0.9760915171500125,12.171861218860657,False,0.6119210270120786,11.574570295228444
1,1.0,26,3_6,linearity,0.995,6.0,250.0,250.0,37.2,11.41,1.072897556815689,12.241761123267013,False,0.6119210270120786,11.585232548421606
1,1.0,27,3_7,linearity,0.995,6.0,500.0,500.0,40.13,26.01,0.9941788432866081,25.858591713884678,False,0.6119210270120786,25.250232775067055
1,1.0,28,3_8,linearity,0.995,6.0,500.0,500.0,41.65,27.17,0.9577255497501904,26.021403186712675,False,0.6119210270120786,25.43535078471383
1,1.0,29,3_9,linearity,0.995,6.0,500.0,500.0,38.72,24.03,1.0305659055959489,24.76449871147065,False,0.6119210270120786,24.133873764114746
1,1.0,30,3_10,linearity,0.995,6.0,500.0,500.0,41.76,24.09,0.9551909374016815,23.010549682006506,False,0.6119210270120786,22.42604826259904
1,1.0,31,4_1,linearity,0.995,6.0,500.0,500.0,36.81,22.27,1.0843255546878814,24.147930102899117,False,0.6119210270120786,23.484408495859068
1,1.0,32,4_2,linearity,0.995,6.0,1000.0,1000.0,39.36,58.0,1.0137250742067454,58.796054303991234,False,0.6119210270120786,58.175734615474745
1,1.0,33,4_3,linearity,0.995,6.0,1000.0,1000.0,39.9,47.82,0.9999379216259702,47.817031412153895,False,0.6119210270120786,47.20514837220421
1,1.0,34,4_4,linearity,0.995,6.0,1000.0,1000.0,40.4,50.18,0.9875022645394528,49.55286363458974,False,0.6119210270120786,48.948590234696006
1,1.0,35,4_5,linearity,0.995,6.0,1000.0,1000.0,39.61,54.0,1.0072951694031365,54.393939147769366,False,0.6119210270120786,53.77755405320389
1,1.0,36,4_6,linearity,0.995,6.0,1000.0,1000.0,41.8,57.19,0.9542725831825977,54.57484903221276,False,0.6119210270120786,53.99090957306219
1,1.0,37,4_7,linearity,0.995,6.0,2000.0,2000.0,42.97,98.19,0.9281705880128085,91.13707003697766,False,0.6119210270120786,90.56910293751847
1,1.0,38,4_8,linearity,0.995,6.0,2000.0,2000.0,39.77,94.01,1.0032226640561408,94.3129626479178,False,0.6119210270120786,93.69906960500678
1,1.0,39,4_9,linearity,0.995,6.0,2000.0,2000.0,39.56,111.2,1.0085746166492184,112.15349737139309,False,0.6119210270120786,111.5363293561548
1,1.0,40,4_10,linearity,0.995,6.0,2000.0,2000.0,38.88,94.89,1.0263034571481993,97.38593504879263,False,0.6119210270120786,96.75791838326846
1,1.0,41,5_1,linearity,0.995,6.0,2000.0,2000.0,40.16,98.1,0.9934325461935589,97.45573278158813,False,0.6119210270120786,96.84783051765415
1,1.0,42,5_2,linearity,0.995,6.0,3000.0,3000.0,42.34,146.6,0.9420454218094493,138.10385883726525,False,0.6119210270120786,137.5274014352596
1,1.0,43,5_3,linearity,0.995,6.0,3000.0,3000.0,40.49,150.9,0.9852966216519623,148.68126020728113,False,0.6119210270120786,148.0783364866483
1,1.0,44,5_4,linearity,0.995,6.0,3000.0,3000.0,41.43,146.5,0.9628353435217045,141.05537782592972,False,0.6119210270120786,140.4661986336784
1,1.0,45,5_5,linearity,0.995,6.0,3000.0,3000.0,40.87,150.9,0.9760915171500125,147.2922099379369,False,0.6119210270120786,146.69491901430467
1,1.0,46,5_6,linearity,0.995,6.0,3000.0,3000.0,41.23,148.9,0.9675281562800283,144.0649424700962,False,0.6119210270120786,143.47289164704225
1,1.0,47,5_7,linearity,0.995,6.0,5000.0,5000.0,39.61,259.9,1.0072951694031365,261.7960145278751,False,0.6119210270120786,261.17962943330963
1,1.0,48,5_8,linearity,0.995,6.0,5000.0,5000.0,40.92,259.9,0.9748931079416864,253.37471875404427,False,0.6119210270120786,252.77816116220558
1,1.0,50,5_10,linearity,0.995,6.0,5000.0,5000.0,42.34,245.9,0.9420454218094493,231.64896922294358,False,0.6119210270120786,231.07251182093793
1,1.0,52,6_2,linearity,0.995,6.0,5000.0,5000.0,43.17,273.5,0.923850950516375,252.67323496622856,False,0.6119210270120786,252.10791114378247
1,1.0,53,6_3,linearity,0.995,10.0,0.0,0.0,39.8,0.6478,1.0024627326025755,0.6493953581799484,True,0.6119210270120786,0.0359673333044457
1,1.0,54,6_4,linearity,0.995,10.0,0.0,0.0,39.21,0.5139,1.0176225710616986,0.5229562392686069,True,0.6119210270120786,-0.09974840952613963
1,1.0,55,6_5,linearity,0.995,10.0,0.0,0.0,38.38,0.625,1.0397422130971479,0.6498388831857174,True,0.6119210270120786,0.01359876031949919
1,1.0,56,6_6,linearity,0.995,10.0,0.0,0.0,39.76,0.6495,1.0034762306396383,0.651757811800445,True,0.6119210270120786,0.037709606165228095
1,1.0,57,6_7,linearity,0.995,10.0,0.0,0.0,39.59,0.6184,1.0078065585674707,0.6232275758181238,True,0.6119210270120786,0.006529551470008596
1,1.0,58,6_8,linearity,0.995,10.0,10.0,10.0,40.92,1.511,0.9748931079416864,1.473063486099888,False,0.6119210270120786,0.8765058942612141
1,1.0,59,6_9,linearity,0.995,10.0,10.0,10.0,42.56,1.59,0.9371533504792761,1.490073827262049,False,0.6119210270120786,0.91660998656896
1,1.0,60,6_10,linearity,0.995,10.0,10.0,10.0,42.02,1.499,0.9492530339801329,1.4229302979362193,False,0.6119210270120786,0.8420624064887648
1,1.0,61,7_1,linearity,0.995,10.0,10.0,10.0,39.21,1.336,1.0176225710616986,1.3595437549384295,False,0.6119210270120786,0.7368391061436829
1,1.0,62,7_2,linearity,0.995,10.0,10.0,10.0,37.28,1.359,1.0705830620349834,1.4549223813055425,False,0.6119210270120786,0.7998100944833595
1,1.0,64,7_4,linearity,0.995,10.0,25.0,25.0,39.03,1.655,1.0223393105592011,1.6919715589754778,False,0.6119210270120786,1.066380638103271
1,1.0,65,7_5,linearity,0.995,10.0,25.0,25.0,37.6,1.952,1.0614240869076494,2.0718998176437315,False,0.6119210270120786,1.4223921002878452
1,1.0,66,7_6,linearity,0.995,10.0,25.0,25.0,38.13,1.597,1.046594439478986,1.6714113198479406,False,0.6119210270120786,1.0309781755768286
1,1.0,67,7_7,linearity,0.995,10.0,25.0,25.0,37.51,1.724,1.0639841708738775,1.8343087105865648,False,0.6119210270120786,1.1832344240208266
1,1.0,68,7_8,linearity,0.995,10.0,25.0,25.0,38.42,2.079,1.0386541746717444,2.1593620291425566,False,0.6119210270120786,1.52378769986704
1,1.0,69,7_9,linearity,0.995,10.0,50.0,50.0,37.94,2.989,1.0518628393548444,3.14401802683163,False,0.6119210270120786,2.5003610378977723
1,1.0,70,7_10,linearity,0.995,10.0,50.0,50.0,38.9,2.914,1.0257731289739414,2.9891028978300653,False,0.6119210270120786,2.361410751266938
1,1.0,71,8_1,linearity,0.995,10.0,50.0,50.0,38.7,2.997,1.0311012024042476,3.09021030360553,False,0.6119210270120786,2.459257796876934
1,1.0,72,8_2,linearity,0.995,10.0,50.0,50.0,39.44,2.774,1.0116585916469145,2.8063409332285407,False,0.6119210270120786,2.187285768842368
1,1.0,73,8_3,linearity,0.995,10.0,50.0,50.0,38.07,3.103,1.0482524342151602,3.2527273033696424,False,0.6119210270120786,2.6112795972567904
1,1.0,74,8_4,linearity,0.995,10.0,100.0,100.0,39.58,5.279,1.008062447917731,5.321561662557701,False,0.6119210270120786,4.704707054135573
1,1.0,75,8_5,linearity,0.995,10.0,100.0,100.0,36.61,5.649,1.0902810204900508,6.158997484748297,False,0.6119210270120786,5.491831602958248
1,1.0,76,8_6,linearity,0.995,10.0,100.0,100.0,39.81,5.225,1.00220967789379,5.236545566995052,False,0.6119210270120786,4.6232723916168394
1,1.0,77,8_7,linearity,0.995,10.0,100.0,100.0,38.75,5.473,1.0297640016963259,5.635898381283991,False,0.6119210270120786,5.005764135785908
1,1.0,78,8_8,linearity,0.995,10.0,100.0,100.0,43.81,5.223,0.9102943337898803,4.754467305384545,False,0.6119210270120786,4.1974390617685655
